"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWDR","AWDR_ATTRIBUTES","AWND","AWND_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSFI","WSFI_ATTRIBUTES"
"USS0020K05S","1978-09-30","39.43","-120.31","2545.7","INDEPENDENCE LAKE, CA US",,,,,,,,,,,,,,,,,"    0",",,T",,
"USS0020K05S","1978-10-01","39.43","-120.31","2545.7","INDEPENDENCE LAKE, CA US","    0",",,T",,,,,,,,,,,,,,,"    0",",,T",,
"USS0020K05S","1978-10-02","39.43","-120.31","2545.7","INDEPENDENCE LAKE, CA US","    0",",,T",,,,,,,,,,,,,,,"    0",",,T",,
"USS0020K05S","1978-10-03","39.43","-120.31","2545.7","INDEPENDENCE LAKE, CA US","    0",",,T",,,,,,,,,,,,,,,"    0",",,T",,
"USS0020K05S","1978-10-04","39.43","-120.31","2545.7","INDEPENDENCE LAKE, CA US","    0",",,T",,,,,,,,,,,,,,,"    0",",,T",,
"USS0020K05S","1978-10-05","39.43","-120.31","2545.7","INDEPENDENCE LAKE, CA US","    0",",,T",,,,,,,,,,,,,,,"    0",",,T",,
"USS0020K05S","1978-10-06","39.43","-120.31","2545.7","INDEPENDENCE LAKE, CA US","    0",",,T",,,,,,,,,,,,,,,"    0",",,T",,
"USS0020K05S","1978-10-07","39.43","-120.31","2545.7","INDEPENDENCE LAKE, CA US","    0",",,T",,,,,,,,,,,,,"   78",",,T","    0",",,T",,
"USS0020K05S","1978-10-08","39.43","-120.31","2545.7","INDEPENDENCE LAKE, CA US","    0",",,T",,,,,,,,,,,,,,,"    0",",,T",,
"USS0020K05S","1978-10-09","39.43","-120.31","2545.7","INDEPENDENCE LAKE, CA US","    0",",,T",,,,,,,,,,,,,,,"    0",",,T",,
"USS0020K05S","1978-10-10","39.43","-120.31","2545.7","INDEPENDENCE LAKE, CA US","    0",",,T",,,,,,,,,,,,,"   71",",,T","    0",",,T",,
"USS0020K05S","1978-10-11","39.43","-120.31","2545.7","INDEPENDENCE LAKE, CA US","    0",",,T",,,,,,,,,,,,,"   75",",,T","    0",",,T",,
"USS0020K05S","1978-10-12","39.43","-120.31","2545.7","INDEPENDENCE LAKE, CA US","    0",",,T",,,,,,,,,,,,,"   65",",,T","    0",",,T",,
"USS0020K05S","1978-10-13","39.43","-120.31","2545.7","INDEPENDENCE LAKE, CA US","    0",",,T",,,,,,,,,,,,,"   96",",,T","    0",",,T",,
"USS0020K05S","1978-10-14","39.43","-120.31","2545.7","INDEPENDENCE LAKE, CA US","    0",",,T",,,,,,,,,,,,,"  105",",,T","    0",",,T",,
"USS0020K05S","1978-10-15","39.43","-120.31","2545.7","INDEPENDENCE LAKE, CA US","    0",",,T",,,,,,,,,,,,,"   45",",,T","    0",",,T",,
"USS0020K05S","1978-10-16","39.43","-120.31","2545.7","INDEPENDENCE LAKE, CA US","    0",",,T",,,,,,,,,,,,,"   39",",,T","    0",",,T",,
