"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES"
"USC00044484","1972-08-01","38.8088","-120.8208","609.6","KELSEY 1 N, CA US","    0",",,0,","    0",",,0","    0",",,0",,,,,,,,,,,,
"USC00044484","1972-08-02","38.8088","-120.8208","609.6","KELSEY 1 N, CA US","    0",",,0,","    0",",,0","    0",",,0",,,,,,,,,,,,
"USC00044484","1972-08-03","38.8088","-120.8208","609.6","KELSEY 1 N, CA US","    0",",,0,","    0",",,0","    0",",,0",,,,,,,,,,,,
"USC00044484","1972-08-04","38.8088","-120.8208","609.6","KELSEY 1 N, CA US","    0",",,0,","    0",",,0","    0",",,0",,,,,,,,,,,,
"USC00044484","1972-08-05","38.8088","-120.8208","609.6","KELSEY 1 N, CA US","    0",",,0,","    0",",,0","    0",",,0",,,,,,,,,,,,
"USC00044484","1972-08-06","38.8088","-120.8208","609.6","KELSEY 1 N, CA US","    0",",,0,","    0",",,0","    0",",,0",,,,,,,,,,,,
"USC00044484","1972-08-07","38.8088","-120.8208","609.6","KELSEY 1 N, CA US","    0",",,0,","    0",",,0","    0",",,0",,,,,,,,,,,,
"USC00044484","1972-08-08","38.8088","-120.8208","609.6","KELSEY 1 N, CA US","    0",",,0,","    0",",,0","    0",",,0",,,,,,,,,,,,
"USC00044484","1972-08-09","38.8088","-120.8208","609.6","KELSEY 1 N, CA US","    0",",,0,","    0",",,0","    0",",,0",,,,,,,,,,,,
"USC00044484","1972-08-10","38.8088","-120.8208","609.6","KELSEY 1 N, CA US","    0",",,0,","    0",",,0","    0",",,0",,,,,,,,,,,,
"USC00044484","1972-08-11","38.8088","-120.8208","609.6","KELSEY 1 N, CA US","    0",",,0,","    0",",,0","    0",",,0",,,,,,,,,,,,
"USC00044484","1972-08-12","38.8088","-120.8208","609.6","KELSEY 1 N, CA US","    0",",,0,","    0",",,0","    0",",,0",,,,,,,,,,,,
"USC00044484","1972-08-13","38.8088","-120.8208","609.6","KELSEY 1 N, CA US","    0",",,0,","    0",",,0","    0",",,0",,,,,,,,,,,,
