"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00047702","1948-07-03","38.19127","-120.67075","335.3","SAN ANDREAS 2, CA US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00047702","1948-07-04","38.19127","-120.67075","335.3","SAN ANDREAS 2, CA US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00047702","1948-07-05","38.19127","-120.67075","335.3","SAN ANDREAS 2, CA US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00047702","1948-07-06","38.19127","-120.67075","335.3","SAN ANDREAS 2, CA US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00047702","1948-07-07","38.19127","-120.67075","335.3","SAN ANDREAS 2, CA US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00047702","1948-07-08","38.19127","-120.67075","335.3","SAN ANDREAS 2, CA US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00047702","1948-07-09","38.19127","-120.67075","335.3","SAN ANDREAS 2, CA US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00047702","1948-07-10","38.19127","-120.67075","335.3","SAN ANDREAS 2, CA US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00047702","1948-07-11","38.19127","-120.67075","335.3","SAN ANDREAS 2, CA US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00047702","1948-07-12","38.19127","-120.67075","335.3","SAN ANDREAS 2, CA US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,
"USC00047702","1948-07-13","38.19127","-120.67075","335.3","SAN ANDREAS 2, CA US","    0",",,0,0700","    0",",,0","    0",",,0",,,,,,,,,,,,,,,,,,,,,,
