"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00040176","1948-07-02","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-03","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-04","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-05","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-06","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-07","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-08","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-09","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-10","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-11","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-12","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-13","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-14","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-15","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-16","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-17","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-18","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-19","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-20","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-21","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-22","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-23","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-24","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-25","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-26","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-27","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-28","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-29","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-30","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-07-31","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-01","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-02","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-03","34.5594","-115.7443","200.6","AMBOY, CA US","   18",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-04","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-05","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-06","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-07","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-08","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-09","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-10","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-11","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-12","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-13","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-14","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-15","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-16","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-17","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-18","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-19","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-20","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-21","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-22","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-23","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-24","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-25","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-26","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-27","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-28","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-29","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-30","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-08-31","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-01","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-02","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-03","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-04","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-05","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-06","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-07","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-08","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-09","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-10","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-11","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-12","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-13","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-14","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-15","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-16","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-17","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-18","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-19","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-20","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-21","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-22","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-23","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-24","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-25","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-26","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-27","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-28","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
"USC00040176","1948-09-29","34.5594","-115.7443","200.6","AMBOY, CA US","    0",",,0,",,,,,,,,,,,,,,,,
