"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00046328","1943-11-01","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-02","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-03","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-04","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","   74",",,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-05","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","   41",",,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-06","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-07","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-08","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-09","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-10","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-11","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-12","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-13","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-14","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-15","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-16","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-17","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-18","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","   25",",,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-19","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-20","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","   97",",,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-21","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-22","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-23","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-24","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-25","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-26","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-27","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-28","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-29","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,"    1",",,6",,,,,,,,,,,,,,,,,,
"USC00046328","1943-11-30","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","   46",",,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,6",,
"USC00046328","1943-12-01","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    5",",,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-12-02","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-12-03","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","   33",",,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,6",,
"USC00046328","1943-12-04","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","   10",",,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,6",,
"USC00046328","1943-12-05","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","   10",",,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,6",,
"USC00046328","1943-12-06","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00046328","1943-12-07","41.8391","-122.8502","603.5","OAK KNOLL W. C., CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
