"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"USS0019L03S","1978-09-30","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US",,,,,,,,,,,"    6",",,T","    0",",,T"
"USS0019L03S","1978-10-01","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"   11",",,T","    0",",,T"
"USS0019L03S","1978-10-02","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"  -10",",,T","    0",",,T"
"USS0019L03S","1978-10-03","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"   -4",",,T","    0",",,T"
"USS0019L03S","1978-10-04","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"    0",",,T","    0",",,T"
"USS0019L03S","1978-10-05","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"   95",",,T","    0",",,T"
"USS0019L03S","1978-10-06","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"  -15",",,T","    0",",,T"
"USS0019L03S","1978-10-07","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"  -14",",,T","    0",",,T"
"USS0019L03S","1978-10-08","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"    1",",,T","    0",",,T"
"USS0019L03S","1978-10-09","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"  -13",",,T","    0",",,T"
"USS0019L03S","1978-10-10","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"    1",",,T","    0",",,T"
"USS0019L03S","1978-10-11","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"   13",",,T","    0",",,T"
"USS0019L03S","1978-10-12","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"    0",",,T","    0",",,T"
"USS0019L03S","1978-10-13","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"    8",",,T","    0",",,T"
"USS0019L03S","1978-10-14","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"   22",",,T","    0",",,T"
"USS0019L03S","1978-10-15","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"    0",",,T","    0",",,T"
"USS0019L03S","1978-10-16","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"   -1",",,T","    0",",,T"
"USS0019L03S","1978-10-17","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"   68",",,T","    0",",,T"
"USS0019L03S","1978-10-18","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"  -11",",,T","    0",",,T"
"USS0019L03S","1978-10-19","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"  -20",",,T","    0",",,T"
"USS0019L03S","1978-10-20","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"  -35",",,T","    0",",,T"
"USS0019L03S","1978-10-21","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"   10",",,T","    0",",,T"
"USS0019L03S","1978-10-22","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"   45",",,T","    0",",,T"
"USS0019L03S","1978-10-23","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"  -38",",,T","    0",",,T"
"USS0019L03S","1978-10-24","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"  -24",",,T","    0",",,T"
"USS0019L03S","1978-10-25","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"  -43",",,T","    0",",,T"
"USS0019L03S","1978-10-26","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"  -35",",,T","    0",",,T"
"USS0019L03S","1978-10-27","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"  -25",",,T","    0",",,T"
"USS0019L03S","1978-10-28","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"   37",",,T","    0",",,T"
"USS0019L03S","1978-10-29","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","   25",",,T",,,,,,,,,"  -63",",,T","   76",",,T"
"USS0019L03S","1978-10-30","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","   76",",,T",,,,,,,,,"  -51",",,T","   76",",,T"
"USS0019L03S","1978-10-31","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","   51",",,T",,,,,,,,,"  -60",",,T","  102",",,T"
"USS0019L03S","1978-11-01","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","  229",",,T",,,,,,,,,"  -39",",,T","  305",",,T"
"USS0019L03S","1978-11-02","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,"  -82",",,T","  279",",,T"
"USS0019L03S","1978-11-03","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,,,"  279",",,T"
"USS0019L03S","1978-11-04","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","    0",",,T",,,,,,,,,,,"  279",",,T"
"USS0019L03S","1978-11-05","38.85","-119.94","2370.1","HAGAN S MEADOW, CA US","   25",",,T",,,,,,,,,"  -51",",,T","  279",",,T"
