"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00048713","1943-10-01","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-02","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-03","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-04","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-05","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-06","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-07","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-08","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-09","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-10","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-11","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-12","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-13","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-14","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-15","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-16","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-17","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-18","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","T,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-19","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","   15",",,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-20","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","T,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-21","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","  211",",,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-22","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-23","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-24","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-25","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-26","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-27","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","   38",",,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-28","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","  102",",,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-29","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-30","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-10-31","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-11-01","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-11-02","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-11-03","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-11-04","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-11-05","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-11-06","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-11-07","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-11-08","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-11-09","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-11-10","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-11-11","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-11-12","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-11-13","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-11-14","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-11-15","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-11-16","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-11-17","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","T,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-11-18","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","    0","P,,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-11-19","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","   84",",,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-11-20","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","   97",",,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00048713","1943-11-21","38.3772","-120.8008","483.4","SUTTER HILL CDF, CA US","   99",",,6,0800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
